Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;Effective group motion 2;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Friction intensity;Max speed intensity
52,001;1931,648;0,4636717;3,673106;0,8398837;0,04674102;0,05652157;20;39;0,975;2;0,03892213;0,9730533;0,9724237;9,42625;0,6588569;1;2,8;1;2,9;0,1;0,04
52,50101;1937,988;0,4642976;3,694888;0,8433014;0,03490875;0,05246824;20;39;0,975;2;0,03931306;0,9828264;0,9923099;-164,1827;0,6798375;1;2,8;1;2,9;0,1;0,04
53,00102;1944,793;0,464967;3,718649;0,8470323;0,05386919;0,06500308;20;39;0,975;2;0,03910425;0,9776062;0,9771125;-33,88461;0,6899825;1;2,8;1;2,9;0,1;0,04
53,50103;1951,485;0,4656228;3,742421;0,8517531;0,1694105;0,294717;20;39;0,975;2;0,03865806;0,9664515;0,9842342;-36,15536;0,7212634;1;2,8;1;2,9;0,1;0,04
54,00105;1959,185;0,4663745;3,769827;0,85777;0,1172063;0,1561954;20;39;0,975;2;0,03823242;0,9558104;0,9766887;-107,9815;0,6937703;1;2,8;1;2,9;0,1;0,04
54,50106;1965,684;0,4670064;3,792228;0,8632908;0,04221685;0,07614548;20;39;0,975;2;0,03844368;0,9610921;0,9735218;36,44639;0,6797274;1;2,8;1;2,9;0,1;0,04
55,00107;1971,566;0,4675765;3,812901;0,8682472;0,1798449;0,2342298;20;39;0,975;2;0,0382551;0,9563776;0,9716216;18,83035;0,6404454;1;4,5;1;2,9;0,1;0,04
55,50108;1979,613;0,4683532;3,841994;0,8748844;0,2300176;0,3223728;20;39;0,975;2;0,03877274;0,9693184;0,9685906;6,104442;0,6760597;1;4,5;1;2,9;0,1;0,04
56,00109;1988,404;0,4691982;3,873605;0,8779693;0,1754708;0,1996594;20;39;0,975;2;0,03916415;0,9791037;0,9801403;-60,85889;0,6314998;1;4,5;1;2,9;0,1;0,04
56,5011;1997,935;0,4701096;3,908176;0,8844436;0,06183483;0,07168032;20;39;0,975;2;0,03906441;0,9766104;0,9894786;146,0064;0,566011;1;4,5;1;2,9;0,1;0,04
