Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Friction intensity;Max speed intensity
39,50071;1627,224;0,4307683;2,591322;0,6399356;0,1729057;40;40;1;1;0,03999999;0,9999997;0,9999997;-32,72392;0,8092589;1,7;2,7;1;0;0,1;0,04
40,00072;1617,004;0,4295561;2,560113;0,6349837;0,1784523;40;40;1;1;0,03999999;0,9999997;0,9999998;-32,78418;0,8106782;1,7;2,7;1;0;0,1;0,04
40,50074;1606,844;0,4283431;2,52924;0,6300275;0,1683259;40;40;1;1;0,03999999;0,9999998;0,9999997;-19,35976;0,8096007;1,7;2,7;1;0;0,1;0,04
41,00075;1596,538;0,4271052;2,498168;0,6249471;0,1435981;40;40;1;1;0,03999999;0,9999997;0,9999997;-17,70727;0,8019532;1,7;2,7;1;0;0,1;0,04
41,50076;1586,085;0,4258412;2,466964;0,6198661;0,1478695;40;40;1;1;0,03999999;0,9999997;0,9999997;-29,78547;0,8031591;1,7;2,7;1;0;0,1;0,04
42,00077;1575,722;0,4245793;2,436124;0,6148288;0,1577815;40;40;1;1;0,03999999;0,9999997;0,9999997;-33,98098;0,8096155;1,7;2,7;1;0;0,1;0,04
42,50078;1565,561;0,4233346;2,406031;0,6098529;0,1591077;40;40;1;1;0,03999999;0,9999997;0,9999997;-37,97334;0,8177779;1,7;2,7;1;0;0,1;0,04
43,00079;1555,506;0,4220947;2,376427;0,6049354;0,1665393;40;40;1;1;0,03999999;0,9999997;0,9999997;-44,47831;0,8242723;1,7;2,7;1;0;0,1;0,04
43,5008;1545,344;0,4208332;2,346772;0,6000852;0,1648912;40;40;1;1;0,03999999;0,9999998;0,9999997;-40,47411;0,8189977;1,7;2,7;1;0;0,1;0,04
44,00082;1534,969;0,4195367;2,316781;0,5952824;0,1603032;40;40;1;1;0,03999999;0,9999997;0,9999998;-44,54049;0,8124229;1,7;2,7;1;0;0,1;0,04
44,50083;1524,547;0,4182255;2,286926;0,5905006;0,1692595;40;40;1;1;0,03999999;0,9999997;0,9999997;-50,87096;0,8079814;1,7;2,7;1;0;0,1;0,04
45,00084;1514,163;0,4169106;2,257462;0,5856538;0,1959889;40;40;1;1;0,03999999;0,9999997;0,9999997;-51,48845;0,8123042;1,7;2,7;1;0;0,1;0,04
45,50085;1503,882;0,4155996;2,228473;0,579992;0,1826724;40;40;1;1;0,03999999;0,9999997;0,9999997;-50,48792;0,8118202;1,7;2,7;1;0;0,1;0,04
46,00086;1493,773;0,4143021;2,200195;0,5740458;0,1906791;40;40;1;1;0,03999999;0,9999997;0,9999997;-50,98378;0,8133561;1,7;2,7;1;0;0,1;0,04
46,50087;1483,65;0,4129937;2,172136;0,5682268;0,1884226;40;40;1;1;0,03999999;0,9999997;0,9999997;-49,49638;0,8174149;1,7;2,7;1;0;0,1;0,04
47,00089;1473,504;0,4116739;2,144208;0,5625309;0,1817068;40;40;1;1;0,03999999;0,9999997;0,9999997;-53,31945;0,8242992;1,7;2,7;1;0;0,1;0,04
47,5009;1463,356;0,4103447;2,116489;0,5570081;0,1593228;40;40;1;1;0,03999999;0,9999997;0,9999997;-48,28454;0,8251268;1,7;2,7;1;0;0,1;0,04
48,00091;1452,83;0,4089566;2,087903;0,5514446;0,1274751;40;40;1;1;0,03999999;0,9999997;0,9999997;-29,1798;0,796988;1,7;2,7;1;0;0,1;0,04
48,50092;1442,214;0,4075464;2,059458;0,5459637;0,1480526;40;40;1;1;0,03999999;0,9999997;0,9999998;-45,73752;0,7913173;1,7;2,7;1;0;0,1;0,04
